Designation,Weight,d,bf,tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,fy,fy,kf,Compact_x,Zex,Compact_y,Zey
40x3SHS,3.3,40,40,3,421,93200,4660,5720,14.9,93200,4660,5720,14.9,158,7070000000,350,430,1,C,5720,C,5720
40x2.5SHS,2.82,40,40,2.5,359,82200,4110,4970,15.1,82200,4110,4970,15.1,136,6210000000,350,430,1,C,4970,C,4970
40x2SHS,2.31,40,40,2,294,69400,3470,4130,15.4,69400,3470,4130,15.4,113,5230000000,350,430,1,C,4130,C,4130
40x1.6SHS,1.88,40,40,1.6,239,57900,2900,3410,15.6,57900,2900,3410,15.6,92.7,4360000000,350,430,1,C,3410,C,3410
35x3SHS,2.83,35,35,3,361,59500,3400,4230,12.8,59500,3400,4230,12.8,102,5180000000,350,430,1,C,4230,C,4230
35x2.5SHS,2.42,35,35,2.5,309,52900,3020,3690,13.1,52900,3020,3690,13.1,88.9,4580000000,350,430,1,C,3690,C,3690
35x2SHS,1.99,35,35,2,254,45100,2580,3090,13.3,45100,2580,3090,13.3,74.1,3890000000,350,430,1,C,3090,C,3090
35x1.6SHS,1.63,35,35,1.6,207,37900,2160,2570,13.5,37900,2160,2570,13.5,61.1,3260000000,350,430,1,C,2570,C,2570
30x2SHS,1.68,30,30,2,214,27200,1810,2210,11.3,27200,1810,2210,11.3,45.4,2750000000,350,430,1,C,2210,C,2210
30x1.6SHS,1.38,30,30,1.6,175,23100,1540,1840,11.5,23100,1540,1840,11.5,37.7,2320000000,350,430,1,C,1840,C,1840
25x3SHS,1.89,25,25,3,241,18400,1470,1910,8.74,18400,1470,1910,8.74,33.3,2270000000,350,430,1,C,1910,C,1910
25x2.5SHS,1.64,25,25,2.5,209,16900,1350,1710,8.99,16900,1350,1710,8.99,29.7,2070000000,350,430,1,C,1710,C,1710
25x2SHS,1.36,25,25,2,174,14800,1190,1470,9.24,14800,1190,1470,9.24,25.3,1800000000,350,430,1,C,1470,C,1470
25x1.6SHS,1.12,25,25,1.6,143,12800,1020,1240,9.44,12800,1020,1240,9.44,21.2,1540000000,350,430,1,C,1240,C,1240
20x1.6SHS,0.873,20,20,1.6,111,6080,608,751,7.39,6080,608,751,7.39,10.3,924000000,350,430,1,C,751,C,751
